ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de servicios complementarios";"Servicios de transporte, restaurante, cafetería y salud (enfermería, odontología, psicología)";"2";"2025-11-12 20:24:40"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Apoyo a la investigación";"2";"2025-11-12 20:24:40"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Convivencia y manejo de conflictos";"2";"2025-11-12 20:24:40"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Pertenencia del personal vinculado";"2";"2025-11-12 20:24:40"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a grupos poblacionales o en situación de vulnerabilidad que experimentan barreras al aprendizaje y la participación";"2";"2025-11-12 20:24:40"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Necesidades y expectativas de los estudiantes";"2";"2025-11-12 20:24:40"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Oferta de servicios a la comunidad";"2";"2025-11-12 20:24:40"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Prevención de riesgos psicosociales";"2";"2025-11-12 20:24:40"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Uso de la planta física y de los medios";"2";"2025-11-12 20:24:40"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Bienestar del Alumnado";"2";"2025-11-12 20:24:40"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manejo de Conflictos";"2";"2025-11-12 20:24:40"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Motivación hacia el Aprendizaje";"2";"2025-11-12 20:24:40"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Metas institucionales";"2";"2025-11-12 20:24:40"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Misión, visión y principios en el marco de una institución integrada";"2";"2025-11-12 20:24:40"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Política de inclusión de personas de diferentes grupos poblacionales o diversidad cultural";"2";"2025-11-12 20:24:40"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Seguimiento y autoevaluación";"2";"2025-11-12 20:24:40"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Asamblea de Padres de Familia";"2";"2025-11-12 20:24:40"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Académico";"2";"2025-11-12 20:24:40"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Familias o Acudientes";"2";"2025-11-12 20:24:40"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Otras Instituciones";"2";"2025-11-12 20:24:40"
