ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Evaluación";"3";"2025-11-13 00:48:56"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Recursos para el aprendizaje";"3";"2025-11-13 00:48:56"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de servicios complementarios";"Apoyo a estudiantes con bajo desempeño académico o con dificultades de interacción";"4";"2025-11-13 00:48:56"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Apoyo a la investigación";"2";"2025-11-13 00:48:56"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Asignación académica";"2";"2025-11-13 00:48:56"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Convivencia y manejo de conflictos";"3";"2025-11-13 00:48:56"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Perfiles";"3";"2025-11-13 00:48:56"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Asamblea y consejo de padres de familia";"3";"2025-11-13 00:48:56"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Contabilidad";"3";"2025-11-13 00:48:56"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Prevención de riesgos psicosociales";"2";"2025-11-13 00:48:56"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Programas de seguridad";"1";"2025-11-13 00:48:56"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manejo de Conflictos";"2";"2025-11-13 00:48:56"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Motivación hacia el Aprendizaje";"1";"2025-11-13 00:48:56"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Identificación y Divulgación de Buenas Prácticas";"2";"2025-11-13 00:48:56"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Mecanismos de Comunicación";"3";"2025-11-13 00:48:56"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Reconocimiento de Logros";"3";"2025-11-13 00:48:56"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Articulación de planes, proyectos y acciones";"4";"2025-11-13 00:48:56"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Uso de información (interna y externa) para la toma de decisiones";"3";"2025-11-13 00:48:56"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Autoridades Educativas";"2";"2025-11-13 00:48:56"
