ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Jornada escolar";"4";"2025-11-20 14:33:01"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Recursos para el aprendizaje";"4";"2025-11-20 14:33:01"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de servicios complementarios";"Servicios de transporte, restaurante, cafetería y salud (enfermería, odontología, psicología)";"4";"2025-11-20 14:33:01"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Apoyo a la investigación";"1";"2025-11-20 14:33:01"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Asignación académica";"4";"2025-11-20 14:33:01"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a grupos poblacionales o en situación de vulnerabilidad que experimentan barreras al aprendizaje y la participación";"4";"2025-11-20 14:33:01"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Escuela de padres";"2";"2025-11-20 14:33:01"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Oferta de servicios a la comunidad";"1";"2025-11-20 14:33:01"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Prevención de riesgos psicosociales";"4";"2025-11-20 14:33:01"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Programas de seguridad";"4";"2025-11-20 14:33:01"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Servicio social estudiantil";"4";"2025-11-20 14:33:01"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Actividades Extracurriculares";"3";"2025-11-20 14:33:01"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Ambiente Físico";"4";"2025-11-20 14:33:01"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manejo de Casos Difíciles";"4";"2025-11-20 14:33:01"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Articulación de planes, proyectos y acciones";"4";"2025-11-20 14:33:01"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Liderazgo";"4";"2025-11-20 14:33:01"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Asamblea de Padres de Familia";"4";"2025-11-20 14:33:01"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Personero Estudiantil";"2";"2025-11-20 14:33:01"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Otras Instituciones";"4";"2025-11-20 14:33:01"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Sector Productivo";"1";"2025-11-20 14:33:01"
