ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Recursos para el aprendizaje";"1";"2025-11-19 13:41:15"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de servicios complementarios";"Apoyo a estudiantes con bajo desempeño académico o con dificultades de interacción";"4";"2025-11-19 13:41:15"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Apoyo a la investigación";"2";"2025-11-19 13:41:15"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Estímulos";"4";"2025-11-19 13:41:15"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Evaluación del desempeño";"1";"2025-11-19 13:41:15"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Perfiles";"4";"2025-11-19 13:41:15"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Pertenencia del personal vinculado";"1";"2025-11-19 13:41:15"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Asamblea y consejo de padres de familia";"1";"2025-11-19 13:41:15"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a estudiantes pertenecientes a grupos étnicos";"2";"2025-11-19 13:41:15"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Necesidades y expectativas de los estudiantes";"2";"2025-11-19 13:41:15"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Presupuesto anual del Fondo de Servicios Educativos (FSE)";"1";"2025-11-19 13:41:15"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Prevención de riesgos psicosociales";"2";"2025-11-19 13:41:15"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Ambiente Físico";"1";"2025-11-19 13:41:15"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manual de Convivencia";"2";"2025-11-19 13:41:15"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Identificación y Divulgación de Buenas Prácticas";"2";"2025-11-19 13:41:15"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Reconocimiento de Logros";"1";"2025-11-19 13:41:15"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Articulación de planes, proyectos y acciones";"2";"2025-11-19 13:41:15"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Uso de información (interna y externa) para la toma de decisiones";"3";"2025-11-19 13:41:15"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Comisión de Evaluación y Promoción";"1";"2025-11-19 13:41:15"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Familias o Acudientes";"2";"2025-11-19 13:41:15"
