ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de servicios complementarios";"Servicios de transporte, restaurante, cafetería y salud (enfermería, odontología, psicología)";"4";"2025-11-21 00:21:49"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Apoyo a la investigación";"3";"2025-11-21 00:21:49"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Asignación académica";"3";"2025-11-21 00:21:49"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Bienestar del talento humano";"3";"2025-11-21 00:21:49"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Convivencia y manejo de conflictos";"4";"2025-11-21 00:21:49"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Pertenencia del personal vinculado";"1";"2025-11-21 00:21:49"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a estudiantes pertenecientes a grupos étnicos";"3";"2025-11-21 00:21:49"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Control fiscal";"3";"2025-11-21 00:21:49"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Necesidades y expectativas de los estudiantes";"3";"2025-11-21 00:21:49"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Programas de seguridad";"1";"2025-11-21 00:21:49"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Inducción a los Nuevos Estudiantes";"3";"2025-11-21 00:21:49"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manual de Convivencia";"3";"2025-11-21 00:21:49"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Identificación y Divulgación de Buenas Prácticas";"4";"2025-11-21 00:21:49"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Reconocimiento de Logros";"2";"2025-11-21 00:21:49"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Metas institucionales";"2";"2025-11-21 00:21:49"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Seguimiento y autoevaluación";"3";"2025-11-21 00:21:49"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Estudiantil";"3";"2025-11-21 00:21:49"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Autoridades Educativas";"4";"2025-11-21 00:21:49"
