ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Evaluación";"3";"2025-11-20 17:07:04"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Jornada escolar";"3";"2025-11-20 17:07:04"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de la planta física y de los recursos";"Programas para la adecuación y embellecimiento de la planta física";"3";"2025-11-20 17:07:04"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Bienestar del talento humano";"3";"2025-11-20 17:07:04"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Convivencia y manejo de conflictos";"2";"2025-11-20 17:07:04"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Estímulos";"3";"2025-11-20 17:07:04"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Inducción";"3";"2025-11-20 17:07:04"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Pertenencia del personal vinculado";"3";"2025-11-20 17:07:04"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a estudiantes pertenecientes a grupos étnicos";"3";"2025-11-20 17:07:04"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Presupuesto anual del Fondo de Servicios Educativos (FSE)";"3";"2025-11-20 17:07:04"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Uso de la planta física y de los medios";"3";"2025-11-20 17:07:04"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Ambiente Físico";"2";"2025-11-20 17:07:04"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Inducción a los Nuevos Estudiantes";"2";"2025-11-20 17:07:04"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Pertenencia y Participación";"3";"2025-11-20 17:07:04"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Conocimiento y apropiación del direccionamiento institucional";"2";"2025-11-20 17:07:04"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Seguimiento y autoevaluación";"3";"2025-11-20 17:07:04"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Uso de información (interna y externa) para la toma de decisiones";"2";"2025-11-20 17:07:04"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Asamblea de Padres de Familia";"3";"2025-11-20 17:07:04"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Comité de Convivencia";"3";"2025-11-20 17:07:04"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Estudiantil";"3";"2025-11-20 17:07:04"
